id_municipio,nome,sigla_uf,capital,latitude,longitude
1100015,Alta Floresta D'Oeste,RO,0,-11.9283,-61.9953
1100023,Ariquemes,RO,0,-9.90571,-63.0325
1100031,Cabixi,RO,0,-13.4945,-60.552
1100049,Cacoal,RO,0,-11.4343,-61.4562
1100056,Cerejeiras,RO,0,-13.187,-60.8168
1100064,Colorado do Oeste,RO,0,-13.1174,-60.5454
1100072,Corumbiara,RO,0,-12.9551,-60.8947
1100080,Costa Marques,RO,0,-12.4367,-64.228
1100098,Espigão D'Oeste,RO,0,-11.5266,-61.0252
1100106,Guajará-Mirim,RO,0,-10.7889,-65.3296
1100114,Jaru,RO,0,-10.4318,-62.4788
1100122,Ji-Paraná,RO,0,-10.8777,-61.9322
1100130,Machadinho D'Oeste,RO,0,-9.44363,-61.9818
1100148,Nova Brasilândia D'Oeste,RO,0,-11.7247,-62.3127
1100155,Ouro Preto do Oeste,RO,0,-10.7167,-62.2565
1100189,Pimenta Bueno,RO,0,-11.672,-61.198
1100205,Porto Velho,RO,1,-8.76077,-63.8999
1100254,Presidente Médici,RO,0,-11.169,-61.8986
1100262,Rio Crespo,RO,0,-9.69965,-62.9011
1100288,Rolim de Moura,RO,0,-11.7271,-61.7714
1100296,Santa Luzia D'Oeste,RO,0,-11.9074,-61.7777
1100304,Vilhena,RO,0,-12.7502,-60.1488
1100320,São Miguel do Guaporé,RO,0,-11.6953,-62.7192
1100338,Nova Mamoré,RO,0,-10.4077,-65.3346
1100346,Alvorada D'Oeste,RO,0,-11.3463,-62.2847
1100379,Alto Alegre dos Parecis,RO,0,-12.132,-61.835
1100403,Alto Paraíso,RO,0,-9.71429,-63.3188
1100452,Buritis,RO,0,-10.1943,-63.8324
1100502,Novo Horizonte do Oeste,RO,0,-11.6961,-61.9951
1100601,Cacaulândia,RO,0,-10.349,-62.9043
1100700,Campo Novo de Rondônia,RO,0,-10.5712,-63.6266
1100809,Candeias do Jamari,RO,0,-8.7907,-63.7005
1100908,Castanheiras,RO,0,-11.4253,-61.9482
1100924,Chupinguaia,RO,0,-12.5611,-60.8877
1100940,Cujubim,RO,0,-9.36065,-62.5846
1101005,Governador Jorge Teixeira,RO,0,-10.61,-62.7371
1101104,Itapuã do Oeste,RO,0,-9.19687,-63.1809
1101203,Ministro Andreazza,RO,0,-11.196,-61.5174
1101302,Mirante da Serra,RO,0,-11.029,-62.6696
1101401,Monte Negro,RO,0,-10.2458,-63.29
1101435,Nova União,RO,0,-10.9068,-62.5564
1101450,Parecis,RO,0,-12.1754,-61.6032
1101468,Pimenteiras do Oeste,RO,0,-13.4823,-61.0471
1101476,Primavera de Rondônia,RO,0,-11.8295,-61.3153
1101484,São Felipe D'Oeste,RO,0,-11.9023,-61.5026
1101492,São Francisco do Guaporé,RO,0,-12.052,-63.568
1101500,Seringueiras,RO,0,-11.8055,-63.0182
1101559,Teixeirópolis,RO,0,-10.9056,-62.242
